zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
2097723265,2654 11 W Meadowview Ln W # 11, Anaheim,CA,92804,2,3.0,1250,399635,3
25159895,1625 E Briarvale Ave, Anaheim,CA,92805,3,2.0,1534,490273,3
25412528,705 S Londerry Ln, Anaheim,CA,92807,4,3.0,3066,1061908,4
2107503331,435 W Center Street Promenade, Anaheim,CA,92805,3,2.0,1634,491885,3
25750516,207 N Magnolia Ave APT B, Anaheim,CA,92801,2,2.0,1127,420451,3
2107051954,550 S Casita St, Anaheim,CA,92805,3,3.0,1682,536099,3
25335235,216 N Citron St, Anaheim,CA,92805,6,3.0,1947,772405,4
25414011,5914 E Hadrians Cres, Anaheim,CA,92807,5,3.0,2394,739307,4
25159696,1259 E Banyan Ave, Anaheim,CA,92805,3,2.0,1242,465172,3
2101974527,Residence 3 Plan, Turnberry Anaheim,CA,92805,3,3.5,1800,558513,3
2097747058,427 N Beth St UNIT B, Anaheim,CA,92806,3,2.0,1266,402512,3
25661740,1042 S Gibraltar Ave, Anaheim,CA,92808,2,3.0,1190,385999,3
25659046,411 S Rosemary Ln, Anaheim,CA,92808,2,2.0,1061,421460,3
25416948,6786 E Kentucky Ave, Anaheim,CA,92807,4,3.0,2456,813186,4
25659356,1258 S Country Glen Way, Anaheim,CA,92808,2,2.0,1015,428815,3
25124718,1105 W Mishreki Pl, Anaheim,CA,92801,4,3.5,3156,777846,4
25221479,1444 S Garza St, Anaheim,CA,92804,3,3.0,1347,529793,3
25708994,1544 W Broadway, Anaheim,CA,92802,3,3.0,1512,498938,3
25403876,410 S Laureltree Dr, Anaheim,CA,92808,4,3.0,2441,821401,4
25224275,1766 W Chateau Ave, Anaheim,CA,92804,4,2.0,1422,563386,3
25152258,2784 W Russell Pl, Anaheim,CA,92801,4,2.0,1266,561968,3
2111305719,729 S Knott Ave, Anaheim,CA,92804,0,0.0,1019,480516,3
2097761426,6577 E Camino Vis, Anaheim,CA,92807,3,3.0,0,534086,3
25322148,1005 W Orangewood Ave, Anaheim,CA,92802,3,3.0,1333,454497,3
25130594,1518 E Elm St, Anaheim,CA,92805,3,2.0,1557,535279,3
25217671,715 S Sherrill St, Anaheim,CA,92804,3,2.0,1359,549048,3
25157345,2148 W Grayson Ave, Anaheim,CA,92801,3,2.0,1480,495593,3
25218242,2820 W Ravenswood Dr, Anaheim,CA,92804,4,3.0,1917,570990,3
25408692,7641 E Paseo Laredo, Anaheim,CA,92808,4,2.5,2094,727724,4
25408726,7609 E Calle Durango, Anaheim,CA,92808,5,3.0,2090,692835,4
25726778,1024 S Dewcrest Dr, Anaheim,CA,92808,2,3.0,1500,503554,3
25414741,5633 E Vista Del Valle, Anaheim,CA,92807,2,3.0,1393,522805,3
25415753,5948 E Calle Principia, Anaheim,CA,92807,4,3.0,2502,764462,4
