zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
15063958,152 Lombard St APT 507G, San Francisco,CA,94111,2,2.0,1146,1121845,2,0.864905660377,0.85806539943
15182958,374 Valley St, San Francisco,CA,94131,3,2.0,1742,1113401,2,1.31471698113,0.851606838548
2097607936,432 Laurel St, San Francisco,CA,94118,2,2.0,0,1606207,6,0.0,1.22853928218
2097608228,Unit B Plan, 72 Townsend San Francisco,CA,94107,1,1.0,900,995825,5,0.679245283019,0.761676502893
2097608227,Unit E Plan, 72 Townsend San Francisco,CA,94107,1,1.0,632,858229,5,0.476981132075,0.656433473152
2097608226,Unit C Plan, 72 Townsend San Francisco,CA,94107,1,2.0,785,923145,5,0.592452830189,0.706085763325
2097608222,Unit H Plan, 72 Townsend San Francisco,CA,94107,1,2.0,950,1029878,5,0.716981132075,0.787722615365
15084111,184 Ewing Ter, San Francisco,CA,94118,5,4.0,2600,2755797,3,1.96226415094,2.10782599517
15147563,75 Folsom St APT 1200, San Francisco,CA,94105,1,1.0,993,1145258,5,0.749433962264,0.875973296864
15176270,751 Madrid St, San Francisco,CA,94112,2,2.0,1244,611986,5,0.938867924528,0.468089630507
15181020,4322 25th St, San Francisco,CA,94114,5,4.0,0,3716043,6,0.0,2.84228919422
15181594,551 Clipper St, San Francisco,CA,94114,2,1.0,1126,1207653,2,0.849811320755,0.923697350185
15140819,1351 Plymouth Ave, San Francisco,CA,94112,2,1.0,1315,1353695,2,0.992452830189,1.03540047055
15179101,107 Guttenberg St, San Francisco,CA,94112,3,1.0,1525,907473,2,1.15094339623,0.694098723279
15095624,3547 Anza St, San Francisco,CA,94121,2,1.0,1325,1399149,2,1.0,1.070166864
79847285,555 4th St UNIT 740, San Francisco,CA,94107,1,1.0,680,757305,5,0.51320754717,0.579239749979
15144809,550 Shotwell St, San Francisco,CA,94110,2,1.0,851,993352,5,0.642264150943,0.759784979792
15144810,552 Shotwell St, San Francisco,CA,94110,2,1.0,818,1044467,5,0.617358490566,0.79888130138
79845949,988 Fulton St APT 116, San Francisco,CA,94117,1,1.0,695,719505,5,0.524528301887,0.550327670237
15164939,340 Justin Dr, San Francisco,CA,94112,3,2.0,0,1149344,6,0.0,0.879098555008
15112773,1871 30th Ave, San Francisco,CA,94122,4,3.0,2560,1277186,3,1.9320754717,0.976881044384
15103190,1379-1383 25TH Ave, San Francisco,CA,94122,6,5.0,3754,1781667,3,2.83320754717,1.36274334334
64972549,333 1st St UNIT 1606, San Francisco,CA,94105,0,1.0,506,681741,4,0.381886792453,0.521443125809
15196645,3010 23rd Ave, San Francisco,CA,94132,5,6.0,3924,3144289,0,2.96150943396,2.4049718069
2097628937,13 Surrey St # A, San Francisco,CA,94131,1,1.0,0,666182,4,0.0,0.509542516055
2097755746,207 Plan, San Francisco,CA,94115,2,2.0,1401,2513226,3,1.05735849057,1.92229075456
119685831,5800 3rd St UNIT 1105, San Francisco,CA,94124,2,2.0,1021,683991,5,0.770566037736,0.523164082936
82786118,425 1st St UNIT 2205, San Francisco,CA,94105,1,1.0,0,957409,4,0.0,0.732293263332
116156390,435 China Basin St UNIT 534, San Francisco,CA,94158,2,2.0,1391,1517870,2,1.04981132075,1.16097297562
64972004,35 Lottie Bennett Ln APT 2, San Francisco,CA,94115,1,1.0,0,16427,4,0.0,0.0125645167705
2097744720,Unit L Plan, 72 Townsend San Francisco,CA,94107,1,1.0,1106,1188672,2,0.834716981132,0.909179355857
15159329,1830-1832 Egbert Ave, San Francisco,CA,94124,0,0.0,880,622716,5,0.664150943396,0.47629668383
69819778,260 King St UNIT 741, San Francisco,CA,94107,1,1.0,854,822245,5,0.644528301887,0.628910397029
15179445,245 Concord St, San Francisco,CA,94112,2,2.0,1670,921639,2,1.26037735849,0.704933869354
2097661525,Residence 1 Plan, LUMINA San Francisco,CA,94105,1,1.0,876,997602,5,0.661132075472,0.763035676589
15168919,362 Princeton St, San Francisco,CA,94134,3,2.0,1356,827195,5,1.02339622642,0.632696502709
15067931,1151 Taylor St APT 1, San Francisco,CA,94108,2,2.0,1191,1346715,2,0.898867924528,1.0300616791
2097657203,1530 Mcallister St APT 6, San Francisco,CA,94115,2,1.0,754,769274,5,0.569056603774,0.588394477028
15135015,10 El Sereno Ct, San Francisco,CA,94127,2,3.0,1718,1647041,2,1.29660377358,1.259771977
96031913,300 Berry St UNIT 1405, San Francisco,CA,94158,1,1.0,732,900565,5,0.552452830189,0.688815002463
15075119,1905 Laguna St APT 306, San Francisco,CA,94115,1,1.0,685,756807,5,0.516981132075,0.578858844802
15071190,3233-3235 Steiner St, San Francisco,CA,94123,4,2.0,2830,3268458,3,2.1358490566,2.49994492937
2098636734,Residence 2 Plan, LUMINA San Francisco,CA,94105,2,2.0,1189,1458542,2,0.897358490566,1.11559477808
15191450,341 Howth St, San Francisco,CA,94112,5,5.0,2000,998578,2,1.50943396226,0.763782189547
2097658751,633 Capp St # 635A, San Francisco,CA,94110,2,1.0,0,787367,4,0.0,0.602233266943
2098035536,W407 Plan, Rockwell San Francisco,CA,94109,2,2.0,1164,1491740,2,0.878490566038,1.14098692684
2097661270,228 And 228a Filbert St, San Francisco,CA,94133,3,3.0,1525,2081701,3,1.15094339623,1.59223029925
15089336,64 7th Ave, San Francisco,CA,94118,3,3.0,2375,2038380,3,1.79245283019,1.55909537315
2097661538,201 Folsom St # 6F, San Francisco,CA,94105,2,2.0,1187,1398760,2,0.895849056604,1.06986932964
15142662,85 Duboce Ave APT 203, San Francisco,CA,94103,2,1.0,1040,946168,5,0.784905660377,0.723695361523
80744991,1011 23rd St APT 10, San Francisco,CA,94107,1,1.5,0,733462,4,0.0,0.561002958517
119685654,744 Church St, San Francisco,CA,94114,2,1.0,1005,1298678,2,0.758490566038,0.993319626866
15163351,155 Newman St, San Francisco,CA,94110,2,1.0,1085,940362,5,0.818867924528,0.719254527265
15100317,835 42nd Ave, San Francisco,CA,94121,3,2.5,2477,1341905,3,1.86943396226,1.0263826552
2098960305,2758 23rd St, San Francisco,CA,94110,0,0.0,1372,794031,5,1.03547169811,0.607330359519
2106908379,1710 48th Ave, San Francisco,CA,94122,2,1.0,1000,759141,5,0.754716981132,0.580644050995
2097665408,3233 Steiner St, San Francisco,CA,94123,0,0.0,0,2475766,6,0.0,1.89363873056
116156046,1134 Page St, San Francisco,CA,94117,3,3.0,1609,1539950,2,1.21433962264,1.17786130156
2097667876,48 Lower Ter # 48, San Francisco,CA,94114,3,3.0,1893,1979606,3,1.42867924528,1.5141409135
2101439205,5114 5116 3rd St, San Francisco,CA,94124,0,0.0,2000,913004,2,1.50943396226,0.698329218334
15090782,332 29th Ave, San Francisco,CA,94121,4,1.0,1168,1072380,5,0.881509433962,0.820231113069
64972516,333 1st St UNIT 1001, San Francisco,CA,94105,2,2.0,0,1230960,6,0.0,0.941524171417
2143414544,3334 Clay St, San Francisco,CA,94118,3,2.0,2150,1898990,3,1.62264150943,1.45248016693
15130401,4407-4409 20TH St, San Francisco,CA,94114,4,2.0,2510,2210399,3,1.89433962264,1.6906675172
15114554,1601 Ortega St, San Francisco,CA,94122,2,1.0,1221,1041368,2,0.921509433962,0.796510969763
15082851,730 Euclid Ave, San Francisco,CA,94118,4,3.0,3425,4393139,0,2.58490566038,3.36017949965
15135507,1290 Portola Dr, San Francisco,CA,94127,3,3.0,2352,2408912,3,1.77509433962,1.84250412265
15068322,3 Helen St # 101, San Francisco,CA,94109,2,3.0,2030,1669711,3,1.5320754717,1.27711157615
15132258,965 Elizabeth St, San Francisco,CA,94114,2,3.0,1279,1497264,2,0.965283018868,1.14521206781
82785263,181 Ofarrell St STE 305, San Francisco,CA,94102,1,2.0,1334,1244989,2,1.00679245283,0.952254530324
2097671492,2596 24th Ave, San Francisco,CA,94116,0,0.0,2850,1423697,3,2.15094339623,1.0889428887
15081454,115 Walnut St, San Francisco,CA,94118,3,3.5,2600,3804313,3,1.96226415094,2.90980425451
15157202,1550 Shafter Ave, San Francisco,CA,94124,5,2.0,1750,772398,2,1.32075471698,0.590783930391
15172634,15 Bishop St, San Francisco,CA,94134,4,3.0,2200,1280869,3,1.66037735849,0.979698059984
89239005,445 Baker St, San Francisco,CA,94117,2,1.0,1211,1278020,2,0.913962264151,0.977518945826
69819344,2913 25th St, San Francisco,CA,94110,1,1.0,1053,962471,5,0.794716981132,0.736165034434
2143405194,228 Oneida Ave, San Francisco,CA,94112,4,3.0,2114,1162839,2,1.59547169811,0.889420473424
63196468,1050 N Point St APT 503, San Francisco,CA,94109,1,1.0,615,830718,5,0.464150943396,0.635391139136
125243731,101 Lundys Ln, San Francisco,CA,94110,0,0.0,2249,665395,2,1.69735849057,0.508940563495
15065815,422 Green St, San Francisco,CA,94133,0,0.0,1295,1374509,2,0.977358490566,1.05132047128
2097679306,112 Ripley St APT 2, San Francisco,CA,94110,1,1.0,0,777102,4,0.0,0.594381878092
15131651,4121 23rd St, San Francisco,CA,94114,4,3.0,2657,2209482,3,2.00528301887,1.68996613156
15164756,4219 Folsom St, San Francisco,CA,94110,3,2.0,1539,971480,2,1.16150943396,0.743055746773
2097680187,870 Harrison St UNIT 605, San Francisco,CA,94107,2,1.5,0,943173,4,0.0,0.721404576369
15134406,736 Myra Way, San Francisco,CA,94127,3,1.0,0,966708,4,0.0,0.739405787923
2103084745,3055 California St # A, San Francisco,CA,94115,2,2.0,966,1035065,5,0.729056603774,0.791689995197
15082192,3319 Clay St, San Francisco,CA,94118,0,0.0,2800,3076069,3,2.11320754717,2.35279238679
64946643,475 Tehama St STE 202, San Francisco,CA,94103,1,1.0,605,623895,4,0.456603773585,0.477198465365
15179776,105 Hanover St, San Francisco,CA,94112,3,3.0,1650,843995,2,1.24528301887,0.645546315928
15162782,127 Ellert St, San Francisco,CA,94110,3,1.0,950,1538662,2,0.716981132075,1.17687614922
15198441,249 N Lake Merced Hls, San Francisco,CA,94132,3,2.5,1904,983761,2,1.43698113208,0.75244911321
2097683628,465 Castro St, San Francisco,CA,94114,3,2.0,1475,1468798,2,1.11320754717,1.1234392831
2097683627,467 Castro St, San Francisco,CA,94114,3,3.0,1855,2060563,3,1.4,1.57606248069
15198058,419 Lakeshore Dr, San Francisco,CA,94132,2,1.0,1250,941585,5,0.943396226415,0.720189963072
2097683950,Plan A (Floors 8-16) Plan, The Harrison San Francisco,CA,94105,1,1.0,840,705551,5,0.633962264151,0.539654676567
2097684327,1345 16th Ave APT 4, San Francisco,CA,94122,1,1.0,0,542077,4,0.0,0.41461834525
15086330,2155 Hayes St, San Francisco,CA,94117,3,2.0,1932,1250717,2,1.45811320755,0.956635704736
15137636,528 Melrose Ave, San Francisco,CA,94127,2,1.0,890,928732,5,0.671698113208,0.71035909109
15098183,655 10th Ave, San Francisco,CA,94118,3,1.5,1950,1955834,3,1.47169811321,1.49595842779
79846516,555 4th St UNIT 802, San Francisco,CA,94107,1,1.0,670,806278,5,0.505660377358,0.616697720382
111933043,442 Leland Ave, San Francisco,CA,94134,5,3.0,2055,806369,2,1.55094339623,0.616767323537
63196414,666 Post St APT 1004, San Francisco,CA,94109,1,1.0,775,922495,5,0.584905660377,0.705588597932
