2131113166	California StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property	 please contact the listing agent	 brokerage	 or listing provider. San Francisco	CA	94108	Studio	1 bath	656 sqft	$839,142
15184331	16 Richland Ave	 San Francisco	CA	94110	1 bed	1 bath	608 sqft	$656,993
15073318	2410 Pacific Ave APT 4	 San Francisco	CA	94115	1 bed	1 bath	862 sqft	$634,375
15149759	537 Wisconsin St	 San Francisco	CA	94107	2 beds	2 baths	-- sqft	$1,152,316
54854616	3379 22nd St	 San Francisco	CA	94110	4 beds	3 baths	2,170 sqft	$1,513,361
15185656	121 Chilton Ave	 San Francisco	CA	94131	2 beds	1 bath	1,439 sqft	$1,249,905
61325135	28 Ashbury St	 San Francisco	CA	94117	2 beds	2 baths	1,585 sqft	$1,376,879
15134850	500 Myra Way	 San Francisco	CA	94127	3 beds	2 baths	1,306 sqft	$975,674
15063958	152 Lombard St APT 507G	 San Francisco	CA	94111	2 beds	2 baths	1,146 sqft	$1,121,451
15182958	374 Valley St	 San Francisco	CA	94131	3 beds	2 baths	1,742 sqft	$1,113,401
2097607936	432 Laurel St	 San Francisco	CA	94118	2 beds	2 baths	-- sqft	$1,605,813
2097608228	Unit B Plan	 72 Townsend San Francisco	CA	94107	1 bed	1 bath	900 sqft	$994,352
2097608227	Unit E Plan	 72 Townsend San Francisco	CA	94107	1 bed	1 bath	632 sqft	$857,737
2097608226	Unit C Plan	 72 Townsend San Francisco	CA	94107	1 bed	2 baths	785 sqft	$923,154
2097608222	Unit H Plan	 72 Townsend San Francisco	CA	94107	1 bed	2 baths	950 sqft	$1,028,645
15084111	184 Ewing Ter	 San Francisco	CA	94118	5 beds	4 baths	2,600 sqft	$2,755,627
15147563	75 Folsom St APT 1200	 San Francisco	CA	94105	1 bed	1 bath	993 sqft	$1,145,237
15176270	751 Madrid St	 San Francisco	CA	94112	2 beds	2 baths	1,244 sqft	$611,986
15181020	4322 25th St	 San Francisco	CA	94114	5 beds	4 baths	-- sqft	$3,715,798
15181594	551 Clipper St	 San Francisco	CA	94114	2 beds	1 bath	1,126 sqft	$1,207,784
15140819	1351 Plymouth Ave	 San Francisco	CA	94112	2 beds	1 bath	1,315 sqft	$1,353,827
15179101	107 Guttenberg St	 San Francisco	CA	94112	3 beds	1 bath	1,525 sqft	$907,017
15095624	3547 Anza St	 San Francisco	CA	94121	2 beds	1 bath	1,325 sqft	$1,398,002
79847285	555 4th St UNIT 740	 San Francisco	CA	94107	1 bed	1 bath	680 sqft	$757,382
15144809	550 Shotwell St	 San Francisco	CA	94110	2 beds	1 bath	851 sqft	$993,291
15144810	552 Shotwell St	 San Francisco	CA	94110	2 beds	1 bath	818 sqft	$1,044,194
79845949	988 Fulton St APT 116	 San Francisco	CA	94117	1 bed	1 bath	695 sqft	$719,364
15164939	340 Justin Dr	 San Francisco	CA	94112	3 beds	2 baths	-- sqft	$1,149,347
15112773	1871 30th Ave	 San Francisco	CA	94122	4 beds	3 baths	2,560 sqft	$1,276,801
15103190	1379-1383 25TH Ave	 San Francisco	CA	94122	6 beds	5 baths	3,754 sqft	$1,779,930
64972549	333 1st St UNIT 1606	 San Francisco	CA	94105	Studio	1 bath	506 sqft	$681,521
15196645	3010 23rd Ave	 San Francisco	CA	94132	5 beds	6 baths	3,924 sqft	$3,147,633
2097628937	13 Surrey St # A	 San Francisco	CA	94131	1 bed	1 bath	-- sqft	$667,494
2097755746	207 Plan	 San Francisco	CA	94115	2 beds	2 baths	1,401 sqft	$2,510,146
119685831	5800 3rd St UNIT 1105	 San Francisco	CA	94124	2 beds	2 baths	1,021 sqft	$684,122
