zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate
15636573,1614 Hudson St APT 208, Redwood City,CA,94061,1,1,606,Unavailable
2103466145,0 Lawler Ranch Rd, Woodside,CA,94062,0,0,0,Unavailable
15573034,133 Hillview Ave, Redwood City,CA,94062,5,8,2750,2172011
15565627,1183 Hudson St, Redwood City,CA,94061,4,5,2700,1661982
15590612,11 Alverno Ct, Redwood City,CA,94061,2,2.5,2800,1908540
15637304,877 Boardwalk Pl, Redwood City,CA,94065,3,2.5,1400,1000479
15617610,517 Martinique Dr, Redwood City,CA,94065,4,2.5,2520,1908135
15591379,2568 Hampton Ave, Redwood City,CA,94061,5,4,2680,1648767
15576652,105 Nueva Ave, Redwood City,CA,94061,4,--,2290,1312919
15617629,38 Cadiz Cir, Redwood City,CA,94065,4,3.5,2520,1967284
15572259,3676 Mcnulty Way, Redwood City,CA,94061,3,3,2360,1981244
15590470,1035 Silver Hill Rd, Redwood City,CA,94061,3,3,2140,2630177
15573268,296 Hillview Ave, Redwood City,CA,94062,4,3,2650,1985859
15572782,250 Upland Rd, Redwood City,CA,94062,4,3,2300,1923537
15571678,823 Shepard Way, Redwood City,CA,94062,3,2,2300,1763436
15634311,4000 Farm Hill Blvd APT 101, Redwood City,CA,94061,3,2,1157,892935
