ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
2097579536,111 Brookside Ave, Santa Clara, CA 95050 ,3 beds,2 baths,1,356 sqft,Unavailable
19491454,4289 Dry Bed Ct, Santa Clara, CA 95054 ,3 beds,3 baths,1,564 sqft,$868,576
64658756,4008 Fitzpatrick Way, Santa Clara, CA 95054 ,3 beds,3 baths,1,894 sqft,$1,212,929
19594505,2362 Kay Dr, Santa Clara, CA 95050 ,3 beds,2 baths,1,238 sqft,$983,955
19487558,4695 Armour Dr, Santa Clara, CA 95054 ,5 beds,3 baths,2,286 sqft,$1,170,849
19490386,4441 Davis St, Santa Clara, CA 95054 ,3 beds,2 baths,1,205 sqft,$929,877
19555892,1707 Andrea Pl, Santa Clara, CA 95051 ,4 beds,4 baths,2,135 sqft,$1,192,268
19579515,744 Lewis St, Santa Clara, CA 95050 ,4 beds,3 baths,2,491 sqft,$1,230,550
19596665,1105 Alta Mira Dr APT B, Santa Clara, CA 95051 ,2 beds,2 baths,1,012 sqft,$665,794
19601229,151 Buckingham Dr UNIT 244, Santa Clara, CA 95051 ,1 bed,1 bath,862 sqft,$482,859
19553309,2474 Fairview Ln, Santa Clara, CA 95051 ,3 beds,2 baths,1,311 sqft,$813,039
19553569,2639 Kerryshire Ln, Santa Clara, CA 95051 ,3 beds,2 baths,1,367 sqft,$879,638
19581635,19 Linden Dr, Santa Clara, CA 95050 ,3 beds,2 baths,1,680 sqft,$1,116,266
19557909,2040 Main St APT 113, Santa Clara, CA 95050 ,2 beds,3 baths,1,125 sqft,$597,126
19551860,1720 Franck Ave, Santa Clara, CA 95051 ,3 beds,2 baths,1,716 sqft,$1,142,565
19600844,2425 Michele Jean Way, Santa Clara, CA 95050 ,2 beds,2 baths,1,573 sqft,$836,900
19556990,948 Civic Center Dr, Santa Clara, CA 95050 ,2 beds,2 baths,680 sqft,$703,469
19595194,2453 Diane Marie Way, Santa Clara, CA 95050 ,3 beds,2 baths,1,580 sqft,$969,941
19601074,150 Saratoga Ave UNIT 345, Santa Clara, CA 95051 ,1 bed,1 bath,862 sqft,$505,793
19556123,1887 Graham Ln, Santa Clara, CA 95050 ,4 beds,1 bath,1,546 sqft,$1,036,222
19606906,2288 Talia Ave, Santa Clara, CA 95050 ,3 beds,2 baths,1,035 sqft,$956,010
19488484,2375 Avenida De Guadalupe, Santa Clara, CA 95054 ,3 beds,2 baths,1,245 sqft,$746,052
19594186,1157 Blackfield Dr, Santa Clara, CA 95051 ,3 beds,2 baths,1,134 sqft,$971,628
19598318,732 Woodhams Rd, Santa Clara, CA 95051 ,3 beds,1 bath,900 sqft,$893,933
19593927,1481 Bergin Pl, Santa Clara, CA 95051 ,3 beds,2 baths,1,566 sqft,$917,848
19602781,73 Jenkins Pl, Santa Clara, CA 95051 ,3 beds,2 baths,1,600 sqft,$1,428,716
19597537,3203 Benton St, Santa Clara, CA 95051 ,4 beds,3 baths,1,564 sqft,$751,712
19617151,3755 Redtail Ct, Santa Clara, CA 95051 ,4 beds,3 baths,2,140 sqft,$1,769,210
19491880,2343 Rambo Ct, Santa Clara, CA 95054 ,5 beds,4 baths,3,450 sqft,$1,591,832
19597051,3011 Kaiser Dr UNIT A, Santa Clara, CA 95051 ,2 beds,2 baths,992 sqft,$557,060
19600745,2625 Keystone Ave APT 201, Santa Clara, CA 95051 ,2 beds,2 baths,1,338 sqft,$729,937
19595438,2951 Miles Dr, Santa Clara, CA 95051 ,3 beds,2 baths,1,662 sqft,$1,356,503
19598294,3055 Dibble Ct, Santa Clara, CA 95051 ,4 beds,2 baths,1,605 sqft,$1,290,726
19599470,2476 Johnson Pl, Santa Clara, CA 95050 ,3 beds,2 baths,1,242 sqft,$1,045,090
19492070,4762 Cheeney St, Santa Clara, CA 95054 ,3 beds,3 baths,1,667 sqft,$1,127,401
