2097564326,21 E 12th St # 7B, New York,NY,10003,2,3,1629,Unavailable
31545305,455 E 86th St APT 18E, New York,NY,10028,2,2,1325,1349569
65321970,300 W 135th St APT 5S, New York,NY,10030,2,2,1092,797172
2097564325,21 E 12th St # 16A, New York,NY,10003,2,3,1478,Unavailable
31508888,312 E 22nd St APT 1B, New York,NY,10010,1,1,829,1100499
65316597,300 E 93rd St APT 17F, New York,NY,10128,1,1,639,824692
2097569422,525 E 11th St # 3B/4B, New York,NY,10009,4,3,2242,Unavailable
2097569421,226 W 111th St APT 19, New York,NY,10026,3,1,--,Unavailable
121712815,70 Park Ter W APT E23, New York,NY,10034,1,1,800,403763
2108266348,70 Park Ter W APT E23, New York,NY,10034,1,1,800,519027
72517384,139 E 30th St APT 2C, New York,NY,10016,1,1,--,595637
31492075,200 Rector Pl APT 18F, New York,NY,10280,1,1,645,793696
31529772,216 E 47th St APT 21A, New York,NY,10017,1,2,801,842440
69509652,20 West St APT 11J, New York,NY,10004,Studio,1,395,625806
89331660,161 E 110th St APT 7E, New York,NY,10029,2,2,1053,629420
2097571243,250 E 49th St # LL, New York,NY,10017,Studio,1,2109,Unavailable
2097571305,515 W 23rd St # 4FL, New York,NY,10011,2,2,1870,Unavailable
31498382,115 4th Ave APT 7E, New York,NY,10003,1,2,1236,2086891
2115293572,328 E 73rd St APT 5B, New York,NY,10021,1,1,--,532026
72513175,20 E 9th St # 6M, New York,NY,10003,1,1,--,1291219
72520196,46 W 71st St APT 3A, New York,NY,10023,1,1,600,787014
89330893,515 E 72nd St APT 16E, New York,NY,10021,1,1,650,1122593
2097574485,401 E 74th St APT 8D, New York,NY,10021,3,2,--,Unavailable
2111462711,524 W 151st St APT 12, New York,NY,10031,2,1,974,693157
2097579291,416 Washington St # 3E/4E, New York,NY,10013,6,8,5034,Unavailable
2097579290,42 Lispenard St # 4, New York,NY,10013,2,3,2147,Unavailable
2097580735,210 Spring St APT 5R, New York,NY,10012,1,1,--,Unavailable
31492355,200 Rector Pl APT 6S, New York,NY,10280,Studio,1,547,689203
97536096,70 Little West St APT 4B, New York,NY,10004,2,2,1311,2309152
2135939167,143 Reade St # 14A, New York,NY,10013,3,2,2300,2896698
2097582706,455 Fdr Dr APT B1506, New York,NY,10002,1,1,--,Unavailable
119911324,132 E 35th St # 8E, New York,NY,10016,1,2,900,1107418
2097582705,245 E 54th St APT 26D, New York,NY,10022,1,1,--,Unavailable
2097583335,356 W 40th St, New York,NY,10018,Studio,--,--,Unavailable
72528894,225 E 76th St APT 5A, New York,NY,10021,1,1,800,625314
83890520,140 Cabrini Blvd APT 127, New York,NY,10033,1,1,--,607740
31542077,153 E 87th St APT 11B, New York,NY,10128,Studio,1,509,673974
2097584639,39 William St # 39B, New York,NY,10005,1,1,791,Unavailable
80008645,80 John St APT 12E, New York,NY,10038,1,1,613,815224
