ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
2098106057,Residence 3 - Plan 2205 Plan, Avenue One : Grand at Avenue One San Jose, CA 95123 ,4 beds,3.5 baths,2,205 sqft,$830,176
19724417,2560 Sierra Monte Way, San Jose, CA 95116 ,4 beds,3 baths,1,531 sqft,$637,477
61323569,1626 Hill Top View Ct, San Jose, CA 95138 ,5 beds,5 baths,4,488 sqft,$2,191,047
19763000,6412 Camden Ave, San Jose, CA 95120 ,4 beds,2 baths,1,850 sqft,$1,195,351
19825380,196 Tulip Blossom Ct, San Jose, CA 95123 ,3 beds,2 baths,1,662 sqft,$758,329
19570095,415 Coyote Creek Cir, San Jose, CA 95116 ,2 beds,2 baths,849 sqft,$392,019
19489111,435 Camille Cir UNIT 11, San Jose, CA 95134 ,3 beds,3 baths,2,261 sqft,$1,015,875
2097680315,661 Bonita Ave SPC 64, San Jose, CA 95116 ,3 beds,3 baths,1,100 sqft,$318,176
69303655,27 Monte Verano Ct, San Jose, CA 95116 ,1 bed,1 bath,597 sqft,$303,145
19810568,35 S Terrace Ct, San Jose, CA 95138 ,3 beds,2 baths,1,187 sqft,$732,288
19686121,2103 Coastland Ave, San Jose, CA 95125 ,5 beds,5 baths,3,100 sqft,$1,399,223
19675837,5170 Cordoy Ln, San Jose, CA 95124 ,3 beds,2 baths,1,844 sqft,$1,057,314
19728622,1449 S White Rd, San Jose, CA 95127 ,3 beds,2 baths,1,434 sqft,$751,583
19570755,876 Gilchrist Dr APT 3, San Jose, CA 95133 ,2 beds,1 bath,903 sqft,$401,974
19701659,4604 Hampton Falls Pl, San Jose, CA 95136 ,3 beds,3 baths,1,745 sqft,$703,745
2099071462,Plan 2 Plan, Metro at Communications Hill San Jose, CA 95136 ,3 beds,3 baths,1,813 sqft,$804,429
2099842203,Towns Plan 4 Plan, Onyx San Jose, CA 95133 ,4 beds,4 baths,1,970 sqft,Unavailable
19573679,358 Caribe Way, San Jose, CA 95133 ,2 beds,3 baths,1,067 sqft,$529,860
19564296,1241 Tofts Dr, San Jose, CA 95131 ,4 beds,2 baths,1,280 sqft,$803,914
19828973,336 Mustang St, San Jose, CA 95123 ,4 beds,3 baths,2,312 sqft,$900,512
19706871,503 Hyde Park Dr, San Jose, CA 95136 ,3 beds,2 baths,1,698 sqft,$897,714
19800585,9057 Village View Loop, San Jose, CA 95135 ,2 beds,3 baths,2,224 sqft,$1,423,599
19486013,2010 Lockwood Dr, San Jose, CA 95132 ,3 beds,3 baths,1,629 sqft,$938,598
19842617,7445 Phinney Way, San Jose, CA 95139 ,4 beds,3 baths,2,137 sqft,$870,670
19837913,6354 Nepo Dr, San Jose, CA 95119 ,3 beds,2 baths,1,508 sqft,$806,562
2129309169,2177 Alum Rock Ave, San Jose, CA 95116 ,2 beds,2 baths,996 sqft,$482,511
19731543,2507 Britt Way, San Jose, CA 95148 ,3 beds,3 baths,1,429 sqft,$812,011
19693058,1576 Trona Way, San Jose, CA 95125 ,4 beds,2 baths,2,267 sqft,$1,453,151
2141895607,510 Saddle Brook Dr SPC 149, San Jose, CA 95136 ,3 beds,2 baths,1,080 sqft,$447,432
79843078,1833 Camino Leonor, San Jose, CA 95131 ,1 bed,2 baths,1,415 sqft,$539,829
19685472,1164 Roycott Way, San Jose, CA 95125 ,3 beds,2 baths,1,560 sqft,$1,136,965
19731129,1812 Home Gate Dr, San Jose, CA 95148 ,3 beds,2.5 baths,1,376 sqft,$625,863
64704657,2378 Azevedo Pkwy, San Jose, CA 95125 ,3 beds,3 baths,1,776 sqft,$803,129
2098106060,Residence 3 - Plan 2332 Plan, Avenue One : Ellington at Avenue One San Jose, CA 95123 ,4 beds,3.5 baths,2,332 sqft,$854,938
19769463,3241 Falmouth St, San Jose, CA 95132 ,4 beds,2 baths,1,234 sqft,$941,210
19682737,1636 Marconi Way, San Jose, CA 95125 ,3 beds,2.5 baths,1,954 sqft,$980,714
19561025,1711 Holin St, San Jose, CA 95131 ,3 beds,3 baths,1,719 sqft,$884,025
19733873,3621 Yew Tree Ct, San Jose, CA 95111 ,3 beds,2 baths,1,157 sqft,$435,236
19695360,1645 Glenroy Dr, San Jose, CA 95124 ,3 beds,2 baths,1,315 sqft,$926,365
19698054,4004 Meridian Ave, San Jose, CA 95124 ,4 beds,2 baths,1,359 sqft,$899,530
19692781,2200 Cheryl Way, San Jose, CA 95125 ,3 beds,2 baths,1,151 sqft,Unavailable
19582656,1910 Topeka Ave, San Jose, CA 95126 ,3 beds,2 baths,1,663 sqft,$959,092
19804316,3270 Rocky Water Ln, San Jose, CA 95148 ,2 beds,1 bath,1,200 sqft,$518,723
19592079,1666 Braddock Ct, San Jose, CA 95125 ,2 beds,2 baths,1,044 sqft,$750,093
19732740,418 El Cajon Dr, San Jose, CA 95111 ,3 beds,1 bath,900 sqft,$538,537
19831757,1002 La Terrace Cir, San Jose, CA 95123 ,2 beds,1 bath,904 sqft,$525,857
19566331,1862 Ribisi Way, San Jose, CA 95131 ,4 beds,2 baths,1,843 sqft,$941,019
19805858,2703 Peartree Ln, San Jose, CA 95121 ,4 beds,2 baths,1,633 sqft,$870,845
69299750,2616 Villa Cortona Way, San Jose, CA 95125 ,3 beds,3 baths,1,592 sqft,$733,620
19660491,4880 Grimsby Dr, San Jose, CA 95130 ,4 beds,2 baths,1,354 sqft,$1,271,448
51075038,4219 Siena Ct, San Jose, CA 95135 ,2 beds,3 baths,1,365 sqft,$894,359
2099842209,Rows Plan 1 Plan, Onyx San Jose, CA 95133 ,2 beds,2 baths,1,261 sqft,$689,551
124745440,1060 Sierra Rd, San Jose, CA 95131 ,4 beds,4 baths,1,851 sqft,$1,006,932
19560170,1680 Sierra Rd, San Jose, CA 95131 ,4 beds,3 baths,1,599 sqft,$912,116
51074985,3407 Wasson Ct, San Jose, CA 95148 ,3 beds,3 baths,1,864 sqft,$1,112,023
69301829,1550 Technology Dr UNIT 3092, San Jose, CA 95110 ,1 bed,1 bath,665 sqft,$432,905
19675030,1910 Adelaide Way, San Jose, CA 95124 ,3 beds,2 baths,1,012 sqft,$1,091,413
64509805,195 Cahill Park Dr, San Jose, CA 95126 ,4 beds,3 baths,1,650 sqft,$770,872
89472923,746 Cedarville Ln, San Jose, CA 95133 ,4 beds,4 baths,1,774 sqft,$812,141
2097702804,218 Rosarno Ct, San Jose, CA 95111 ,2 beds,3 baths,1,443 sqft,$686,749
19688111,1128 Koch Ln, San Jose, CA 95125 ,3 beds,3 baths,2,900 sqft,$1,575,197
19570795,877 Gilchrist Walkway APT 3, San Jose, CA 95133 ,2 beds,1 bath,903 sqft,$405,206
19802756,3059 Shadow Springs Pl, San Jose, CA 95121 ,2 beds,1 bath,1,010 sqft,$459,404
19689500,1835 Schooldale Dr, San Jose, CA 95124 ,5 beds,3 baths,2,389 sqft,$1,462,353
19715812,2002 Bikini Ave, San Jose, CA 95122 ,3 beds,1 bath,1,061 sqft,$547,646
19826481,272 Tradewinds Ct APT 3, San Jose, CA 95123 ,2 beds,1 bath,903 sqft,$403,120
19578124,334 Fuller Ave, San Jose, CA 95125 ,2 beds,1 bath,949 sqft,$689,949
19824211,6157 Cottle Rd, San Jose, CA 95123 ,3 beds,2 baths,1,536 sqft,$807,422
82958798,88 Bush St UNIT 4161, San Jose, CA 95126 ,2 beds,2 baths,1,224 sqft,$848,880
19568697,429 N 5th St, San Jose, CA 95112 ,2 beds,2 baths,950 sqft,$801,217
19691910,2627 La Mirada Dr, San Jose, CA 95125 ,3 beds,3 baths,1,584 sqft,$1,122,403
19685601,1188 Fairview Ave, San Jose, CA 95125 ,2 beds,1 bath,1,324 sqft,$1,507,936
19832232,5877 Lake Almanor Dr, San Jose, CA 95123 ,2 beds,1 bath,852 sqft,$533,950
19560514,1314 Vanna Ct, San Jose, CA 95131 ,3 beds,3 baths,1,514 sqft,$913,908
19740627,1052 Woodminster Dr, San Jose, CA 95121 ,3 beds,2 baths,1,178 sqft,$623,644
19700815,3177 Heather Ridge Dr, San Jose, CA 95136 ,2 beds,2 baths,1,173 sqft,$553,094
19818555,4950 Red Creek Dr, San Jose, CA 95136 ,2 beds,3 baths,1,196 sqft,$546,223
19581708,1553 Mckendrie St, San Jose, CA 95126 ,2 beds,1 bath,1,110 sqft,$835,586
2098106062,Residence 2 - Plan 2028 Plan, Avenue One : Ellington at Avenue One San Jose, CA 95123 ,3 beds,3.5 baths,2,028 sqft,$805,469
19824031,6368 Mayo Dr, San Jose, CA 95123 ,4 beds,2 baths,1,562 sqft,$819,777
19694260,3631 Kersten Dr, San Jose, CA 95124 ,3 beds,2 baths,1,215 sqft,$891,721
19694745,1552 Hillsdale Ave, San Jose, CA 95118 ,4 beds,2 baths,1,546 sqft,$899,771
19558155,1092 Obrien Ct, San Jose, CA 95126 ,4 beds,2 baths,1,532 sqft,$1,055,788
19681189,872 Willow Glen Way, San Jose, CA 95125 ,4 beds,5 baths,3,700 sqft,$2,491,201
19687274,2296 Markham Ave, San Jose, CA 95125 ,4 beds,2 baths,2,094 sqft,$1,391,732
82954271,88 N Jackson Ave UNIT 318, San Jose, CA 95116 ,3 beds,2 baths,1,200 sqft,$479,934
19563992,2693 Orangestone Way, San Jose, CA 95132 ,4 beds,2 baths,1,480 sqft,$843,536
19766672,1173 Nikulina Ct, San Jose, CA 95120 ,5 beds,6 baths,5,448 sqft,$2,632,925
19836649,6858 Shearwater Dr, San Jose, CA 95120 ,4 beds,3 baths,2,240 sqft,$1,586,282
89473193,1252 De Altura Cmns, San Jose, CA 95126 ,2 beds,3 baths,1,667 sqft,$801,567
19839718,203 Arbor Valley Ct, San Jose, CA 95119 ,3 beds,2 baths,1,392 sqft,$803,661
19766399,1135 Trevino Ter, San Jose, CA 95120 ,3 beds,3 baths,2,046 sqft,$845,347
69303306,824 Altino Blvd, San Jose, CA 95136 ,3 beds,3 baths,2,262 sqft,$886,961
2104533761,5450 Monterey Hwy SPC 167A, San Jose, CA 95111 ,4 beds,2 baths,1,596 sqft,$453,880
19824433,6405 Pelham Ct, San Jose, CA 95123 ,4 beds,2.5 baths,2,256 sqft,$1,039,406
19753945,1642 Orchard View Dr, San Jose, CA 95124 ,3 beds,2 baths,1,243 sqft,$924,087
19717228,2394 Balme Dr # 108, San Jose, CA 95122 ,1 bed,1 bath,648 sqft,$332,532
19695780,1658 Milroy Pl, San Jose, CA 95124 ,3 beds,2 baths,1,583 sqft,$1,190,508
19687419,1109 Manor Dr, San Jose, CA 95125 ,4 beds,4 baths,2,543 sqft,$1,343,879
19659137,4586 Alex Dr, San Jose, CA 95130 ,4 beds,2 baths,1,302 sqft,$1,232,918
19640634,6898 Bollinger Rd, San Jose, CA 95129 ,3 beds,2 baths,2,360 sqft,$1,771,420
19735712,1316 Lightland Rd, San Jose, CA 95121 ,4 beds,2 baths,1,698 sqft,$763,309
19612495,609 Lisa Way, Campbell, CA 95008 ,4 beds,3 baths,2,118 sqft,$1,261,092
63065776,1286 Previtera Ct, San Jose, CA 95110 ,2 beds,2 baths,1,462 sqft,$678,691
2097731163,2855 Senter Rd SPC 28, San Jose, CA 95111 ,2 beds,1 bath,470 sqft,$196,046
2097731666,510 Saddle Brook Dr SPC 151, San Jose, CA 95136 ,2 beds,2 baths,1,040 sqft,$414,796
69303428,1060 S 3rd St APT 133, San Jose, CA 95112 ,1 bed,1 bath,667 sqft,$374,786
19704517,384 Castlemaine Ct, San Jose, CA 95136 ,3 beds,3 baths,1,376 sqft,$718,592
120554327,1101 Carla Dr, San Jose, CA 95120 ,5 beds,5 baths,3,476 sqft,$1,607,542
81856975,15231 Cooper Ave, San Jose, CA 95124 ,3 beds,1 bath,1,053 sqft,$1,036,552
19812882,5779 Capilano Dr, San Jose, CA 95138 ,6 beds,5 baths,3,293 sqft,$1,420,304
19772828,1373 Morrill Ave, San Jose, CA 95132 ,3 beds,1 bath,1,272 sqft,$829,015
19569839,444 Terrace Dr, San Jose, CA 95112 ,3 beds,1 bath,1,326 sqft,$723,035
2097735805,1520 E Capitol Expy SPC 155, San Jose, CA 95121 ,3 beds,2 baths,1,482 sqft,$459,183
19740735,2515 Sherlock Dr, San Jose, CA 95121 ,4 beds,3 baths,1,657 sqft,$731,198
19757854,5262 Camden Ave, San Jose, CA 95124 ,4 beds,2 baths,1,372 sqft,$995,680
19696608,1215 Redcliff Dr, San Jose, CA 95118 ,3 beds,2 baths,1,176 sqft,$891,353
19645477,1090 Hyde Ave, San Jose, CA 95129 ,4 beds,2 baths,1,693 sqft,$1,505,942
82958269,1421 N 1st St UNIT 153, San Jose, CA 95112 ,1 bed,1 bath,674 sqft,$406,802
2099071463,Plan 3 Plan, Promenade at Communications Hill San Jose, CA 95136 ,4 beds,4 baths,2,178 sqft,$836,921
82961956,20 S 2nd St UNIT 329, San Jose, CA 95113 ,2 beds,2 baths,1,170 sqft,$626,999
19576796,687 Minor Ave, San Jose, CA 95125 ,3 beds,2 baths,1,328 sqft,$738,177
19812437,5267 Apennines Cir, San Jose, CA 95138 ,4 beds,3 baths,2,682 sqft,$1,553,053
19811346,523 Hewes Ct, San Jose, CA 95138 ,4 beds,3 baths,2,060 sqft,$974,214
19758158,1592 Sabina Way, San Jose, CA 95118 ,3 beds,2 baths,1,100 sqft,$906,481
2099071464,Plan 1 Plan, Metro at Communications Hill San Jose, CA 95136 ,2 beds,2 baths,1,668 sqft,$776,739
19647814,5766 W Walbrook Dr, San Jose, CA 95129 ,4 beds,2.5 baths,2,428 sqft,$1,704,869
2097745803,512 Hermitage Pl, San Jose, CA 95134 ,2 beds,2 baths,1,440 sqft,$515,589
79485241,7078 Goldenspur Loop, San Jose, CA 95138 ,5 beds,4 baths,2,465 sqft,$1,030,675
19806291,1953 Postgate Ct, San Jose, CA 95121 ,3 beds,3 baths,1,131 sqft,$545,838
19697263,3570 Jarvis Ave, San Jose, CA 95118 ,2 beds,1 bath,797 sqft,Unavailable
19841066,104 Bernal Rd, San Jose, CA 95119 ,2 beds,2 baths,960 sqft,$669,894
2099136495,Flats / Plan 4 Plan, Orchard Park San Jose, CA 95131 ,4 beds,2.5 baths,2,147 sqft,$1,092,693
82959242,437 N 10th St, San Jose, CA 95112 ,3 beds,2 baths,880 sqft,$641,203
19589833,909 College Dr, San Jose, CA 95128 ,7 beds,2 baths,1,650 sqft,$972,332
2097749582,218 Rosarno Ct BLDG 19, San Jose, CA 95111 ,2 beds,3 baths,1,443 sqft,$684,294
2097749575,Residence 1-Pln 1A,1X,1Y,1Z Plan, Astoria San Jose, CA 95111 ,2 beds,3 baths,1,443 sqft,$684,294
2097749576,Residence 3-Pln 3E, 3ES Plan, Astoria San Jose, CA 95111 ,4 beds,4 baths,2,042 sqft,$742,785
2097749581,Residence 4-Pln 4E,4EB,4EX/EXB Plan, Astoria San Jose, CA 95111 ,4 beds,4 baths,2,105 sqft,$891,654
2098106058,Residence 2 - Plan 1901 Plan, Avenue One : Ellington at Avenue One San Jose, CA 95123 ,3 beds,3.5 baths,1,901 sqft,$796,099
19806295,3341 Innerwick Ln, San Jose, CA 95121 ,2 beds,2 baths,998 sqft,$515,891
19707746,5530 Don Octavio Ct, San Jose, CA 95123 ,3 beds,2 baths,1,156 sqft,$516,872
19814900,418 Branham Ln E, San Jose, CA 95111 ,3 beds,3 baths,1,688 sqft,$615,767
19706409,4475 Park Sommers Way, San Jose, CA 95136 ,4 beds,3 baths,2,352 sqft,$861,484
19836405,6665 Mount Pakron Dr, San Jose, CA 95120 ,5 beds,3 baths,2,450 sqft,$1,527,891
2097751975,Address Not Disclosed, San Jose, CA 95117 ,4 beds,3 baths,1,688 sqft,$999,360
63065336,1310 Saddle Rack St APT 300, San Jose, CA 95126 ,2 beds,2 baths,1,108 sqft,$640,849
19606190,1082 Polk Ln, San Jose, CA 95117 ,4 beds,3 baths,1,688 sqft,$1,046,241
19761286,6240 Via De Adrianna, San Jose, CA 95120 ,5 beds,3 baths,2,546 sqft,$1,409,847
2099842210,Rows Plan 6 Plan, Onyx San Jose, CA 95133 ,3 beds,3 baths,1,733 sqft,$824,505
19579022,1071 Glen Brook Ave, San Jose, CA 95125 ,3 beds,2 baths,1,744 sqft,$1,247,323
19709297,435 Colony Crest Dr, San Jose, CA 95123 ,3 beds,3 baths,1,294 sqft,$552,004
19648373,5021 Lassen Ave, San Jose, CA 95129 ,3 beds,2 baths,1,570 sqft,$1,530,517
82963478,330 Lochridge Dr, San Jose, CA 95133 ,-- beds,-- baths,4,856 sqft,$2,241,540
69303706,88 N Jackson Ave UNIT 201, San Jose, CA 95116 ,2 beds,2 baths,1,056 sqft,$452,430
19819411,6088 Salida Del Sol, San Jose, CA 95123 ,3 beds,2 baths,1,270 sqft,$807,199
19719965,914 Mccreery Ave, San Jose, CA 95116 ,4 beds,3 baths,1,860 sqft,$694,249
79841792,1203 Yarwood Ct, San Jose, CA 95128 ,2 beds,2 baths,922 sqft,$565,506
19705385,321 Lassenpark Cir, San Jose, CA 95136 ,5 beds,3 baths,2,231 sqft,$913,626
2097758731,540 Bonita Ave SPC 203, San Jose, CA 95116 ,1 bed,1 bath,399 sqft,$481,761
19769928,1691 Queens Crossing Dr, San Jose, CA 95132 ,3 beds,2 baths,1,577 sqft,$976,673
19810462,63 Southgate Ct, San Jose, CA 95138 ,4 beds,3 baths,2,455 sqft,$936,160
19799202,8510 Fume Blanc Ct, San Jose, CA 95135 ,2 beds,2 baths,1,646 sqft,$632,537
19716992,1371 Mcquesten Dr APT D, San Jose, CA 95122 ,2 beds,1 bath,876 sqft,$406,091
2097759842,5450 Monterey Hwy SPC 117, San Jose, CA 95111 ,3 beds,2 baths,1,440 sqft,$459,198
2097760846,2150 Almaden Rd SPC 25, San Jose, CA 95125 ,2 beds,2 baths,1,040 sqft,$293,850
89558897,1935 Foxworthy Ave, San Jose, CA 95124 ,3 beds,2 baths,1,655 sqft,$1,100,501
19768103,1242 Charise Ct, San Jose, CA 95120 ,2 beds,3 baths,1,298 sqft,$895,453
2097760966,896 S Almaden Ave, San Jose, CA 95110 ,Studio,-- baths,2,197 sqft,$865,928
19685381,2170 Newport Ave, San Jose, CA 95125 ,5 beds,4 baths,2,887 sqft,$1,897,472
19803562,2818 Westbranch Dr, San Jose, CA 95148 ,4 beds,3 baths,1,670 sqft,$773,525
19707831,5459 Don Mateo Ct, San Jose, CA 95123 ,3 beds,2 baths,1,220 sqft,$520,900
2098900062,Plan 2 Plan, The Glen San Jose, CA 95125 ,3 beds,3 baths,1,484 sqft,$965,769
2145257300,243 Chateau La Salle Dr, San Jose, CA 95111 ,2 beds,2 baths,1,713 sqft,$479,250
19734989,1256 Stayner Rd, San Jose, CA 95121 ,3 beds,2 baths,1,239 sqft,$656,298
19773147,1331 Bonnet Ct, San Jose, CA 95132 ,4 beds,4 baths,2,237 sqft,$1,259,590
19484950,2831 Via Encinitas, San Jose, CA 95132 ,4 beds,2 baths,1,598 sqft,$842,548
112098806,1216 Royal Crest Dr, San Jose, CA 95131 ,4 beds,2.5 baths,1,599 sqft,$811,051
19728426,1301 Sandalwood Ct, San Jose, CA 95127 ,3 beds,2 baths,1,241 sqft,$595,145
94697643,5411 Country Club Pkwy, San Jose, CA 95138 ,4 beds,4 baths,5,205 sqft,$3,160,432
19797940,3350 Falls Creek Dr, San Jose, CA 95135 ,4 beds,3 baths,2,905 sqft,$1,564,379
19608054,3524 Olsen Dr, San Jose, CA 95117 ,4 beds,2 baths,1,380 sqft,$974,881
19577506,833 Willis Ave, San Jose, CA 95125 ,2 beds,1 bath,720 sqft,$536,977
19817729,4683 Park Concord Pl, San Jose, CA 95136 ,4 beds,3 baths,2,922 sqft,$1,105,241
19838815,6147 Encinal Dr, San Jose, CA 95119 ,4 beds,2 baths,1,939 sqft,$925,302
2097769607,1478 Amesbury Way, San Jose, CA 95127 ,3 beds,2 baths,1,188 sqft,$590,475
19572878,303 Hans Way, San Jose, CA 95133 ,3 beds,3 baths,1,431 sqft,$544,555
19816543,109 Springhaven Ct, San Jose, CA 95111 ,3 beds,2 baths,1,372 sqft,$722,710
19690455,2933 Varden Ave, San Jose, CA 95124 ,4 beds,4 baths,2,206 sqft,$1,221,751
89475999,630 Almaden Walk Loop, San Jose, CA 95125 ,2 beds,3 baths,1,282 sqft,$689,031
19748545,5363 Rucker Dr, San Jose, CA 95124 ,4 beds,3 baths,2,004 sqft,$1,462,909
19777518,3305 Noble Ave, San Jose, CA 95132 ,4 beds,3 baths,1,962 sqft,$1,028,337
19753743,5503 Muir Dr, San Jose, CA 95124 ,4 beds,2 baths,1,598 sqft,$1,206,282
69301815,1550 Technology Dr UNIT 3069, San Jose, CA 95110 ,1 bed,1 bath,831 sqft,$467,642
2097773766,919 Calle De Verde # BRANHAM/EA, San Jose, CA 95136 ,3 beds,2 baths,1,507 sqft,$789,536
2097773765,510 Saddle Brook Dr SPC 92, San Jose, CA 95136 ,2 beds,2 baths,985 sqft,$407,038
19575321,664 Morse St, San Jose, CA 95126 ,4 beds,3 baths,2,698 sqft,$1,780,963
19835704,6611 Bubblingwell Pl, San Jose, CA 95120 ,4 beds,3 baths,2,304 sqft,$1,351,295
112098050,1487 Freni Ct, San Jose, CA 95121 ,3 beds,2 baths,1,176 sqft,$465,075
19593701,1761 Meridian Ave, San Jose, CA 95125 ,3 beds,2 baths,1,486 sqft,$1,110,512
19721528,2027 E San Antonio St, San Jose, CA 95116 ,4 beds,3 baths,1,344 sqft,$590,471
69303328,2059 Mary Helen Ln, San Jose, CA 95136 ,3 beds,4 baths,1,757 sqft,$815,857
19702100,4646 Pinto River Ct, San Jose, CA 95136 ,3 beds,3 baths,1,496 sqft,$641,940
19698116,1638 Jacob Ave, San Jose, CA 95124 ,3 beds,2 baths,1,405 sqft,$917,875
19582123,1534 Martin Ave, San Jose, CA 95126 ,4 beds,2 baths,1,526 sqft,$881,696
19824683,5943 Wildflower Dr, San Jose, CA 95123 ,5 beds,4 baths,2,952 sqft,$1,243,807
19585820,507 Menker Ave, San Jose, CA 95128 ,3 beds,1 bath,1,388 sqft,$852,031
2097784602,5972 Reddick Ln BLDG 27, San Jose, CA 95123 ,3 beds,4 baths,1,901 sqft,$798,461
2097784600,5978 Reddick Ln BLDG 27, San Jose, CA 95123 ,3 beds,4 baths,1,793 sqft,$795,422
19779361,951 Rock Canyon Cir, San Jose, CA 95127 ,4 beds,3 baths,2,478 sqft,$1,145,469
19677295,5096 Adair Way, San Jose, CA 95124 ,3 beds,2 baths,1,200 sqft,$979,305
19846870,1022 Kiser Dr, San Jose, CA 95120 ,3 beds,3 baths,1,470 sqft,$899,535
19704930,4626 Holycon Cir, San Jose, CA 95136 ,3 beds,2 baths,2,236 sqft,$922,009
19806227,3331 Innerwick Ln, San Jose, CA 95121 ,2 beds,2 baths,988 sqft,$453,216
19677991,2317 Saidel Dr APT 3, San Jose, CA 95124 ,2 beds,1 bath,903 sqft,$486,914
64665949,248 Vista Roma Way, San Jose, CA 95136 ,4 beds,2.5 baths,1,878 sqft,$790,270
19797936,3347 Falls Creek Dr, San Jose, CA 95135 ,5 beds,3 baths,3,153 sqft,$1,583,487
82961310,286 Casselino Dr, San Jose, CA 95136 ,4 beds,3 baths,3,221 sqft,$1,263,160
2097789044,2009 Cunningham Ct, San Jose, CA 95148 ,9,713 sqft,Unavailable
19785108,15143 Rosemar Ave, San Jose, CA 95127 ,2 beds,1 bath,1,823 sqft,$692,891
19645344,1025 Johnson Ave, San Jose, CA 95129 ,4 beds,2 baths,1,693 sqft,$1,829,131
19701377,919 Calle De Verde, San Jose, CA 95136 ,3 beds,2 baths,1,507 sqft,$786,959
19763419,1255 Big Talk Ct, San Jose, CA 95120 ,4 beds,3 baths,2,050 sqft,$1,376,725
19489891,4194 Sophia Way, San Jose, CA 95134 ,2 beds,3 baths,1,130 sqft,$758,041
2097793348,6130 Monterey Hwy SPC 193, San Jose, CA 95138 ,2 beds,2 baths,1,440 sqft,$471,996
79845997,1057 Clintonia Ave, San Jose, CA 95125 ,4 beds,3 baths,2,420 sqft,$1,700,419
19470231,1577 Wabash St, Alviso, CA 95002 ,5 beds,3 baths,1,742 sqft,$989,704
2097793723,384 Pinefield Rd, San Jose, CA 95134 ,3 beds,2 baths,1,344 sqft,$732,525
19821394,527 Suisse Dr, San Jose, CA 95123 ,4 beds,2 baths,1,826 sqft,$966,670
79843935,2601 Corde Terra Cir, San Jose, CA 95111 ,3 beds,3 baths,1,760 sqft,$709,665
19753996,5755 Rudy Dr, San Jose, CA 95124 ,5 beds,6 baths,3,181 sqft,$1,918,180
82950931,88 Bush St UNIT 2166, San Jose, CA 95126 ,2 beds,2 baths,1,444 sqft,$892,031
19717577,1804 Bevin Brook Dr, San Jose, CA 95112 ,2 beds,2 baths,955 sqft,$471,156
19764858,1253 Washoe Dr, San Jose, CA 95120 ,4 beds,3 baths,2,733 sqft,$1,558,392
69303592,2177 Alum Rock Ave APT 134, San Jose, CA 95116 ,2 beds,2 baths,996 sqft,$441,086
19686782,2117 Ardis Dr, San Jose, CA 95125 ,2 beds,1 bath,1,156 sqft,$1,044,137
19828144,216 Beegum Way, San Jose, CA 95123 ,3 beds,2 baths,1,617 sqft,$754,219
19672333,3618 Nova Scotia Ave, San Jose, CA 95124 ,5 beds,3 baths,2,969 sqft,$1,566,388
19786350,1472 Mount Whitney Dr, San Jose, CA 95127 ,3 beds,2 baths,1,000 sqft,Unavailable
19562528,2320 Four Oaks Ct, San Jose, CA 95131 ,3 beds,3 baths,1,686 sqft,$948,312
19809503,5476 Century Park Way, San Jose, CA 95111 ,4 beds,3 baths,2,264 sqft,$836,749
19691813,2378 La Mirada Dr, San Jose, CA 95125 ,4 beds,3 baths,1,910 sqft,$1,132,892
51075623,2021 Spanish Bay Ct, San Jose, CA 95138 ,4 beds,4 baths,3,599 sqft,$1,588,014
19675098,4930 Kenson Dr, San Jose, CA 95124 ,4 beds,3 baths,1,916 sqft,$1,202,200
19686344,1758 Harmil Way, San Jose, CA 95125 ,3 beds,3 baths,2,148 sqft,$1,470,847
