ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
19775053,2766 Glen Firth Dr, San Jose, CA 95133 ,4 beds,2 baths,2,084 sqft,$992,318
19586760,949 S Daniel Way, San Jose, CA 95128 ,7,881 sqft,Unavailable
2099071466,Plan 1 Plan, Promenade at Communications Hill San Jose, CA 95136 ,4 beds,3.5 baths,2,148 sqft,$850,580
19573582,1744 Creekstone Cir, San Jose, CA 95133 ,2 beds,3 baths,1,367 sqft,$694,659
79847327,629 S 22nd St, San Jose, CA 95116 ,4 beds,3 baths,1,816 sqft,$816,731
19794423,3069 Pavan Dr, San Jose, CA 95148 ,3 beds,3 baths,1,303 sqft,$838,633
19706437,130 Baroni Ave APT 18, San Jose, CA 95136 ,2 beds,2.5 baths,1,360 sqft,$572,587
19764469,1494 Bullion Pl, San Jose, CA 95120 ,4 beds,4 baths,2,700 sqft,$1,302,429
19675479,5136 Emiline Dr, San Jose, CA 95124 ,3 beds,2 baths,1,233 sqft,$1,095,711
19719189,1795 Margaret St, San Jose, CA 95116 ,3 beds,2 baths,1,200 sqft,$547,414
19590413,1929 Dandini Cir, San Jose, CA 95128 ,3 beds,2 baths,1,330 sqft,$879,330
19693155,2545 Plummer Ave, San Jose, CA 95125 ,2 beds,2 baths,1,342 sqft,$1,016,220
19586529,2944 Moorpark Ave, San Jose, CA 95128 ,2 beds,3 baths,1,259 sqft,$717,207
19762157,1585 Via Campo Verde, San Jose, CA 95120 ,5 beds,3 baths,2,525 sqft,$1,551,356
19702127,4738 Durango River Ct, San Jose, CA 95136 ,3 beds,3 baths,1,441 sqft,$644,881
2097598913,746 Mill Stream Dr, San Jose, CA 95125 ,2 beds,2 baths,1,300 sqft,$343,577
82961616,38 N Almaden Blvd UNIT 2208, San Jose, CA 95110 ,3 beds,2 baths,1,836 sqft,$1,960,177
19486394,2151 Piedmont Rd, San Jose, CA 95132 ,4 beds,2 baths,1,806 sqft,$962,924
19717247,1096 Indian Summer Ct, San Jose, CA 95122 ,2 beds,3 baths,1,052 sqft,$458,462
19728430,1344 Sandalwood Ct, San Jose, CA 95127 ,3 beds,2 baths,1,145 sqft,$588,256
19825306,5307 Mango Blossom Ct, San Jose, CA 95123 ,4 beds,2 baths,1,804 sqft,$781,290
19706174,4509 Thistle Dr, San Jose, CA 95136 ,4 beds,3 baths,1,954 sqft,$912,611
19831630,5943 Hillrose Dr, San Jose, CA 95123 ,4 beds,3 baths,2,482 sqft,$1,255,215
82948899,974 Pavilion Loop, San Jose, CA 95112 ,2 beds,2 baths,1,024 sqft,$645,994
19695208,1614 Willowdale Dr, San Jose, CA 95118 ,4 beds,2 baths,1,415 sqft,$868,793
19760357,4867 Pine Forest Pl, San Jose, CA 95118 ,2 beds,2 baths,1,026 sqft,$590,219
19760357,4867 Pine Forest Pl, San Jose, CA 95118 ,2 beds,2 baths,1,026 sqft,$590,219
121043237,2015 Pepper Way, San Jose, CA 95133 ,3 beds,3 baths,1,579 sqft,$853,768
19735475,654 Singleton Rd, San Jose, CA 95111 ,6 beds,3 baths,1,672 sqft,$671,295
2099842213,Rows Plan 2 Plan, Onyx San Jose, CA 95133 ,3 beds,2 baths,1,376 sqft,$714,537
19841153,7029 Via Serena, San Jose, CA 95139 ,4 beds,3 baths,2,090 sqft,$847,784
19768663,1871 Messina Dr, San Jose, CA 95132 ,2 beds,1 bath,888 sqft,$504,120
69303156,2109 Sunstruck Ct, San Jose, CA 95125 ,2 beds,2 baths,1,144 sqft,$669,596
2097606355,836 Villa Teresa Way # 836, San Jose, CA 95123 ,2 beds,2 baths,1,840 sqft,$1,074,750
19758392,1448 Branham Ln, San Jose, CA 95118 ,3 beds,2 baths,1,232 sqft,$902,261
2097608111,635 Avenue One BLDG 28, San Jose, CA 95123 ,3 beds,4 baths,2,093 sqft,$816,638
2097608116,643 Avenue One BLDG 28, San Jose, CA 95123 ,3 beds,4 baths,1,712 sqft,$801,107
2097608112,639 Avenue One BLDG 28, San Jose, CA 95123 ,3 beds,4 baths,1,712 sqft,$801,107
2097608113,5955 Golden Vista Dr BLDG 21, San Jose, CA 95123 ,4 beds,4 baths,2,205 sqft,$824,139
2097608115,5949 Golden Vista Dr BLDG 21, San Jose, CA 95123 ,4 beds,4 baths,2,423 sqft,$905,337
19833295,6189 Blossom Ave, San Jose, CA 95123 ,3 beds,2 baths,1,232 sqft,$823,053
2099842212,Towns Plan 2 Plan, Onyx San Jose, CA 95133 ,2 beds,2 baths,1,391 sqft,$709,132
19563475,1878 Tradan Dr, San Jose, CA 95132 ,2 beds,2 baths,988 sqft,$553,169
19564527,1337 Mich Bluff Dr, San Jose, CA 95131 ,4 beds,2 baths,1,380 sqft,$784,750
19707683,5481 Don Pizarro Ct, San Jose, CA 95123 ,2 beds,1 bath,884 sqft,$426,249
19694505,3359 Kirk Rd, San Jose, CA 95124 ,3 beds,2 baths,1,170 sqft,$901,718
19582098,1455 Martin Ave, San Jose, CA 95126 ,3 beds,2 baths,1,428 sqft,$1,041,897
19590823,1807 Blackford Ln, San Jose, CA 95125 ,2 beds,2 baths,1,581 sqft,$1,060,174
19710365,148 N 10th St, San Jose, CA 95112 ,2 beds,2 baths,1,364 sqft,$694,124
19704943,4684 Mia Cir, San Jose, CA 95136 ,3 beds,2 baths,1,492 sqft,$767,960
19641172,6806 Windsor Way, San Jose, CA 95129 ,5 beds,3 baths,1,704 sqft,$1,808,737
19607534,778 Crestview Dr, San Jose, CA 95117 ,3 beds,2 baths,1,164 sqft,$994,895
19612406,3615 Compton Ln, San Jose, CA 95130 ,4 beds,3 baths,1,971 sqft,$1,284,086
19694222,3698 Ross Ave, San Jose, CA 95124 ,3 beds,2 baths,1,315 sqft,$846,545
19590418,1949 Dandini Cir, San Jose, CA 95128 ,4 beds,3 baths,1,636 sqft,$942,497
69302484,801 S Winchester Blvd APT 1200, San Jose, CA 95128 ,1 bed,1 bath,692 sqft,$505,783
19694774,3335 Cardin Ave, San Jose, CA 95118 ,3 beds,3 baths,1,718 sqft,$910,538
2097614104,5770 Winfield Blvd SPC 105, San Jose, CA 95123 ,3 beds,2 baths,1,560 sqft,$629,811
19696597,1221 Hillsdale Ave, San Jose, CA 95118 ,3 beds,2 baths,1,176 sqft,$842,757
19697007,1373 Lindsay Way, San Jose, CA 95118 ,3 beds,2 baths,1,460 sqft,$907,832
82947597,38 N Almaden Blvd UNIT 803, San Jose, CA 95110 ,1 bed,1 bath,868 sqft,$659,497
19695036,1529 Willowgate Dr, San Jose, CA 95118 ,3 beds,2 baths,1,137 sqft,$879,546
2104317419,200 Ford Rd SPC 96, San Jose, CA 95138 ,3 beds,2 baths,1,464 sqft,$462,305
2098106063,Residence 3 - Plan 2258 Plan, Avenue One : Ellington at Avenue One San Jose, CA 95123 ,4 beds,3.5 baths,2,258 sqft,$838,448
2099842208,Towns Plan 3 Plan, Onyx San Jose, CA 95133 ,3 beds,2.5 baths,1,714 sqft,$884,856
19759112,1461 Luning Dr, San Jose, CA 95118 ,4 beds,2 baths,1,937 sqft,$1,248,337
2146812506,1151 Ringwood Ct STE 100, San Jose, CA 95131 ,Studio,2 baths,3,503 sqft,$1,441,817
19768992,2023 Portsmouth Ct, San Jose, CA 95132 ,3 beds,2 baths,1,412 sqft,$779,193
19570408,1729 Marigold Ct, San Jose, CA 95133 ,3 beds,1 bath,900 sqft,$550,215
19604303,4156 Will Rogers Dr, San Jose, CA 95117 ,5 beds,3 baths,4,460 sqft,$2,082,979
19734736,1142 Oakview Rd, San Jose, CA 95121 ,2 beds,2 baths,1,196 sqft,$603,060
82949829,1375 Lick Ave APT 721, San Jose, CA 95110 ,2 beds,2 baths,1,148 sqft,$656,724
